Location Name,Possible names
REDC,"rausing,rausing executive and development centre,rausing executive centre,REDC,"
Sports Complex,"sports complex,sports centre,gym,"
Library Building,"Library Building,library,ist lab,ist labs,computer lab,"
F-3,"F-3,f3,female hostel 3,femal drom3,"
F-2,"F-2,f2,female hostel 2,femal drom2,"
F-1,"F-1,f1,female hostel 1,femal drom1,"
F-4,"F-4,f4,female hostel 4,femal drom4,"
Mosque,"masjid,mosque,"
SDSB,"SDSB,Suleman dawood school of business,business school,lums business school,"
M-1,"M-1,m1,male hostel 1,male dorm1,"
M-2,"M-2,m2,male hostel 2,male dorm2,"
M-3,"M-3,m3,male hostel 3,male dorm3,"
M-4,"M-4,m4,male hostel 4,male dorm4,"
M-5,"M-5,m5,male hostel 5,male dorm5,"
M-6,"M-6,m6,male hostel 6,male dorm6,"
