Economics Department,Economics Department&Econ dept.&econ dept&economics dept.&economics&dept&econ department&,AcademicBlock
A-8,A-8&a8&a-8&A8&Audi8&Audi-8&Auditorium-8&Auditorium8&,AcademicBlock
AcademicBlock,Academic Block&,non
SBASSE,SBASSE&School of Sciences and Engineering&SSE&LUMS Engineering School& LUMS Sciences School& LUMS School of Science and Engineering &jamin java&,non
PDC,PDC&Pepsi Dining Centre&Cafeteria&main cafeterie&main cafe&cafe &,non
REDC,rausing&rausing executive and development centre&rausing executive centre&REDC&,non
Sports Complex,sports complex&sports centre&gym&,non
Library Building,Library Building&library&ist lab&ist labs&computer lab&,non
F-3,F-3&f3&female hostel 3&femal drom3&,non
F-2,F-2&f2&female hostel 2&femal drom2&,non
F-1,F-1&f1&female hostel 1&femal drom1&,non
F-4,F-4&f4&female hostel 4&femal drom4&,non
Mosque,masjid&mosque&,non
SDSB,SDSB&Suleman dawood school of business&business school&lums business school&,non
M-1,M-1&m1&male hostel 1&male dorm1&,non
M-2,M-2&m2&male hostel 2&male dorm2&,non
M-3,M-3&m3&male hostel 3&male dorm3&,non
M-4,M-4&m4&male hostel 4&male dorm4&,non
M-5,M-5&m5&male hostel 5&male dorm5&,non
M-6,M-6&m6&male hostel 6&male dorm6&,non
