Location no : 1,,,,,
1,LUMS-Guest,c8:f9:f9:a0:97:81,-90,31.470758,74.409103
1,LUMS-Guest,c8:f9:f9:a0:6a:21,-86,31.470758,74.409103
1,wireless,c8:f9:f9:a0:6a:20,-85,31.470758,74.409103
1,wireless,c8:f9:f9:89:84:70,-83,31.470758,74.409103
2,LUMS-Guest,c8:f9:f9:a0:97:81,-90,31.470758,74.409103
2,LUMS-Guest,c8:f9:f9:a0:6a:21,-86,31.470758,74.409103
2,wireless,c8:f9:f9:a0:6a:20,-85,31.470758,74.409103
2,wireless,c8:f9:f9:89:84:70,-83,31.470758,74.409103
3,LUMS-Guest,c8:f9:f9:a0:c9:01,-83,31.470758,74.409103
3,wireless,c8:f9:f9:a0:6a:20,-89,31.470758,74.409103
3,LUMS-Guest,c8:f9:f9:89:84:71,-95,31.470758,74.409103
3,wireless,c8:f9:f9:a0:c9:00,-91,31.470758,74.409103
3,wireless,c8:f9:f9:89:84:70,-83,31.470758,74.409103
,,,,,
Location no : 2,,,,,
4,LUMS-Guest,c8:f9:f9:a0:c9:01,-82,31.470685,74.409177
4,wireless,c8:f9:f9:a0:c9:00,-89,31.470685,74.409177
4,wireless,c8:f9:f9:89:84:70,-83,31.470685,74.409177
5,LUMS-Guest,c8:f9:f9:a0:c9:01,-82,31.470685,74.409177
5,wireless,c8:f9:f9:a0:c9:00,-89,31.470685,74.409177
5,wireless,c8:f9:f9:89:84:70,-83,31.470685,74.409177
6,LUMS-Guest,c8:f9:f9:89:8a:81,-91,31.470685,74.409177
6,wireless,c8:f9:f9:a0:6a:20,-91,31.470685,74.409177
6,LUMS-Guest,c8:f9:f9:89:84:71,-86,31.470685,74.409177
6,LUMS-Guest,c8:f9:f9:a0:6a:21,-91,31.470685,74.409177
6,wireless,c8:f9:f9:89:84:70,-83,31.470685,74.409177
6,wireless,c8:f9:f9:89:8a:80,-88,31.470685,74.409177
,,,,,
Location no : 3,,,,,
7,LUMS-Guest,c8:f9:f9:89:8a:81,-95,31.470612,74.409242
7,wireless,c8:f9:f9:a0:6a:20,-94,31.470612,74.409242
7,LUMS-Guest,c8:f9:f9:89:84:71,-86,31.470612,74.409242
7,LUMS-Guest,c8:f9:f9:a0:6a:21,-88,31.470612,74.409242
7,wireless,c8:f9:f9:89:84:70,-93,31.470612,74.409242
7,wireless,c8:f9:f9:89:8a:80,-84,31.470612,74.409242
8,LUMS-Guest,c8:f9:f9:89:8a:81,-95,31.470612,74.409242
8,wireless,c8:f9:f9:a0:6a:20,-94,31.470612,74.409242
8,LUMS-Guest,c8:f9:f9:89:84:71,-86,31.470612,74.409242
8,LUMS-Guest,c8:f9:f9:a0:6a:21,-88,31.470612,74.409242
8,wireless,c8:f9:f9:89:84:70,-93,31.470612,74.409242
8,wireless,c8:f9:f9:89:8a:80,-84,31.470612,74.409242
9,LUMS-Guest,c8:f9:f9:a0:97:81,-95,31.470612,74.409242
9,wireless,c8:f9:f9:a0:6a:20,-80,31.470612,74.409242
9,LUMS-Guest,c8:f9:f9:a0:6a:21,-83,31.470612,74.409242
9,wireless,c8:f9:f9:89:84:70,-93,31.470612,74.409242
9,wireless,c8:f9:f9:89:8a:80,-88,31.470612,74.409242
,,,,,
Location no : 4,,,,,
10,LUMS-Guest,c8:f9:f9:89:8a:81,-86,31.470544,74.409294
10,wireless,c8:f9:f9:a0:6a:20,-87,31.470544,74.409294
10,LUMS-Guest,c8:f9:f9:89:84:71,-83,31.470544,74.409294
10,LUMS-Guest,c8:f9:f9:a0:6a:21,-87,31.470544,74.409294
10,wireless,c8:f9:f9:89:84:70,-90,31.470544,74.409294
10,wireless,c8:f9:f9:89:8a:80,-94,31.470544,74.409294
11,LUMS-Guest,c8:f9:f9:89:8a:81,-86,31.470544,74.409294
11,wireless,c8:f9:f9:a0:6a:20,-87,31.470544,74.409294
11,LUMS-Guest,c8:f9:f9:89:84:71,-83,31.470544,74.409294
11,LUMS-Guest,c8:f9:f9:a0:6a:21,-87,31.470544,74.409294
11,wireless,c8:f9:f9:89:84:70,-90,31.470544,74.409294
11,wireless,c8:f9:f9:89:8a:80,-94,31.470544,74.409294
12,LUMS-Guest,c8:f9:f9:89:84:71,-85,31.470544,74.409294
12,wireless,c8:f9:f9:89:84:70,-92,31.470544,74.409294
,,,,,
Location no : 5,,,,,
13,wireless,c8:f9:f9:a0:c9:00,-95,31.470571,74.409338
13,wireless,c8:f9:f9:89:84:70,-92,31.470571,74.409338
14,wireless,c8:f9:f9:a0:c9:00,-95,31.470571,74.409338
14,wireless,c8:f9:f9:89:84:70,-92,31.470571,74.409338
15,LUMS-Guest,c8:f9:f9:89:84:71,-88,31.470571,74.409338
15,wireless,c8:f9:f9:a0:97:80,-94,31.470571,74.409338
15,wireless,c8:f9:f9:89:84:70,-83,31.470571,74.409338
,,,,,
Location no : 6,,,,,
16,wireless,c8:f9:f9:a0:c9:00,-91,31.470634,74.409279
16,wireless,c8:f9:f9:89:84:70,-83,31.470634,74.409279
16,wireless,c8:f9:f9:89:8a:80,-86,31.470634,74.409279
17,wireless,c8:f9:f9:a0:c9:00,-91,31.470634,74.409279
17,wireless,c8:f9:f9:89:84:70,-83,31.470634,74.409279
17,wireless,c8:f9:f9:89:8a:80,-86,31.470634,74.409279
18,LUMS-Guest,c8:f9:f9:a0:c9:01,-87,31.470634,74.409279
18,LUMS-Guest,c8:f9:f9:89:8a:81,-96,31.470634,74.409279
18,wireless,c8:f9:f9:a0:6a:20,-89,31.470634,74.409279
18,wireless,c8:f9:f9:a0:c9:00,-84,31.470634,74.409279
18,LUMS-Guest,c8:f9:f9:a0:6a:21,-90,31.470634,74.409279
18,wireless,c8:f9:f9:89:84:70,-83,31.470634,74.409279
18,wireless,c8:f9:f9:89:8a:80,-92,31.470634,74.409279
,,,,,
Location no : 7,,,,,
19,LUMS-Guest,c8:f9:f9:a0:c9:01,-89,31.470718,74.409211
19,wireless,c8:f9:f9:a0:6a:20,-89,31.470718,74.409211
19,wireless,c8:f9:f9:a0:c9:00,-89,31.470718,74.409211
19,LUMS-Guest,c8:f9:f9:a0:6a:21,-89,31.470718,74.409211
19,wireless,c8:f9:f9:89:84:70,-83,31.470718,74.409211
20,LUMS-Guest,c8:f9:f9:a0:c9:01,-89,31.470718,74.409211
20,wireless,c8:f9:f9:a0:6a:20,-89,31.470718,74.409211
20,wireless,c8:f9:f9:a0:c9:00,-89,31.470718,74.409211
20,LUMS-Guest,c8:f9:f9:a0:6a:21,-89,31.470718,74.409211
